"month","avg_delivery_days"
"2016-09-01 00:00:00","54.8131944444444444"
"2016-10-01 00:00:00","19.6005587875611461"
"2016-12-01 00:00:00","4.6930208333333333"
"2017-01-01 00:00:00","12.6470435185185185"
"2017-02-01 00:00:00","13.1688252489861307"
"2017-03-01 00:00:00","12.9511844878313113"
"2017-04-01 00:00:00","14.9179125004020521"
"2017-05-01 00:00:00","11.32236297536958679447"
"2017-06-01 00:00:00","12.01157270438301140042"
"2017-07-01 00:00:00","11.59273238720060453096"
"2017-08-01 00:00:00","11.14712465551050692944"
"2017-09-01 00:00:00","11.85100652889335118215"
"2017-10-01 00:00:00","11.8566996985261277"
"2017-11-01 00:00:00","15.16113169924177745298"
"2017-12-01 00:00:00","15.3949185301072885"
"2018-01-01 00:00:00","14.0805626139560837"
"2018-02-01 00:00:00","16.94513756815549340375"
"2018-03-01 00:00:00","16.3014101744093801"
"2018-04-01 00:00:00","11.49924105367319364072"
"2018-05-01 00:00:00","11.41902893535667835577"
"2018-06-01 00:00:00","9.23921629316734713662"
"2018-07-01 00:00:00","8.9586362371549587"
"2018-08-01 00:00:00","7.73277972045813724278"
