"month","late_delivery_percentage"
"2016-09-01 00:00:00","100.0000000000000000"
"2016-10-01 00:00:00","1.1320754716981132"
"2016-12-01 00:00:00","0.00000000000000000000"
"2017-01-01 00:00:00","3.0666666666666667"
"2017-02-01 00:00:00","3.2062915910465820"
"2017-03-01 00:00:00","5.5773762765121760"
"2017-04-01 00:00:00","7.8593139383412940"
"2017-05-01 00:00:00","3.6107193229901269"
"2017-06-01 00:00:00","3.8596491228070175"
"2017-07-01 00:00:00","3.4349173553719008"
"2017-08-01 00:00:00","3.3150488910088242"
"2017-09-01 00:00:00","5.2048192771084337"
"2017-10-01 00:00:00","5.2925413130861992"
"2017-11-01 00:00:00","14.3111964873765093"
"2017-12-01 00:00:00","8.3801922728097225"
"2018-01-01 00:00:00","6.5638704201442920"
"2018-02-01 00:00:00","15.9877955758962624"
"2018-03-01 00:00:00","21.3622733114379552"
"2018-04-01 00:00:00","5.3103854074727861"
"2018-05-01 00:00:00","8.2382575196325382"
"2018-06-01 00:00:00","1.36154855643044619423"
"2018-07-01 00:00:00","4.4834307992202729"
"2018-08-01 00:00:00","10.3920642418516769"
