"product_category_name_english","total_revenue"
"health_beauty","1258681.34"
"watches_gifts","1205005.68"
"bed_bath_table","1036988.68"
"sports_leisure","988048.97"
"computers_accessories","911954.32"
"furniture_decor","729762.49"
"cool_stuff","635290.85"
"housewares","632248.66"
"auto","592720.11"
"garden_tools","485256.46"
"toys","483946.60"
"baby","411764.89"
"perfumery","399124.87"
"telephony","323667.53"
"office_furniture","273960.70"
"stationery","230943.23"
"computers","222963.13"
"pet_shop","214315.41"
"musical_instruments","191498.88"
"small_appliances","190648.58"
NULL,"185049.76"
"electronics","160246.74"
"consoles_games","157465.22"
"fashion_bags_accessories","152823.54"
"construction_tools_construction","144677.59"
"luggage_accessories","140429.98"
"home_appliances_2","113317.74"
"home_construction","83088.12"
"home_appliances","80171.53"
"agro_industry_and_commerce","72530.47"
"furniture_living_room","68916.56"
"fixed_telephony","59583.00"
"home_confort","58572.04"
"air_conditioning","55024.96"
"audio","50688.50"
"small_appliances_home_oven_and_coffee","47445.71"
"books_general_interest","46856.88"
"kitchen_dining_laundry_garden_furniture","46328.37"
"construction_tools_lights","41080.00"
"construction_tools_safety","40544.52"
"industry_commerce_and_business","39669.61"
"food","29393.41"
"market_place","28378.47"
"costruction_tools_garden","25715.89"
"art","24202.64"
"fashion_shoes","23562.77"
"drinks","22428.70"
"signaling_and_security","21509.23"
"furniture_bedroom","20028.78"
"books_technical","19096.06"
"costruction_tools_tools","15903.95"
"food_drink","15179.48"
"fashion_male_clothing","10797.82"
"fashion_underwear_beach","9541.55"
"christmas_supplies","8800.82"
"tablets_printing_image","7528.41"
"cine_photo","6933.46"
"music","6034.35"
"dvds_blu_ray","5999.39"
"books_imported","4639.85"
"party_supplies","4485.18"
"furniture_mattress_and_upholstery","4368.08"
"fashio_female_clothing","2803.64"
"fashion_sport","2119.51"
"la_cuisine","2054.99"
"arts_and_craftmanship","1814.01"
"diapers_and_hygiene","1567.59"
"flowers","1110.04"
"home_comfort_2","760.27"
"cds_dvds_musicals","730"
"fashion_childrens_clothes","569.85"
"security_and_services","283.29"
